strasse,stadtteil
Landgrabenweg,Bergen-Enkheim
"Neuer Weg",Bergen-Enkheim
"Nidderauer Straße",Bergen-Enkheim
Riedstraße,Bergen-Enkheim
Röntgenstraße,Bergen-Enkheim
"Rumpenheimer Straße",Bergen-Enkheim
Nordring,Bergen-Enkheim
Volkshausstraße,Bergen-Enkheim
Siboldgasse,Bergen-Enkheim
Siebenbürgenstraße,Bergen-Enkheim
Siedlerstraße,Bergen-Enkheim
Voltenseeweg,Bergen-Enkheim
Sophie-Rosenthal-Straße,Bergen-Enkheim
Speierlingweg,Bergen-Enkheim
"Stargarder Straße",Bergen-Enkheim
"Stettiner Straße",Bergen-Enkheim
Usastraße,Bergen-Enkheim
Willy-Sedler-Weg,Bergen-Enkheim
"Vilbeler Landstraße",Bergen-Enkheim
Oskar-Schubert-Weg,Bergen-Enkheim
Oskar-Schindler-Weg,Bergen-Enkheim
Wilhelm-Koch-Weg,Bergen-Enkheim
Rangenbergstraße,Bergen-Enkheim
"Alte Hofgasse",Nieder-Eschbach
Altvaterstraße,Nieder-Eschbach
Arnoldstraße,Nieder-Eschbach
Galgenstraße,Nieder-Eschbach
"Niedereschbacher Straße",Nieder-Eschbach
"Im Weidenfeld",Nieder-Eschbach
Max-Planck-Straße,Nieder-Eschbach
"Auf dem Ried",Nieder-Eschbach
Fritz-Erler-Straße,Nieder-Eschbach
"Niedererlenbacher Straße",Nieder-Eschbach
"Auf der Steinern Straße",Nieder-Eschbach
Ben-Gurion-Ring,Nieder-Eschbach
Gladiolenstraße,Nieder-Eschbach
Ludwig-Quidde-Straße,Nieder-Eschbach
"Prager Straße",Nieder-Eschbach
Aschebachstraße,Nieder-Eschbach
Georg-Büchner-Straße,Nieder-Eschbach
Glockengasse,Nieder-Eschbach
Adam-Heinstadt-Straße,Nieder-Eschbach
Albert-Einstein-Straße,Nieder-Eschbach
Bathgartenweg,Nieder-Eschbach
Albert-Schweitzer-Straße,Nieder-Eschbach
Alt-Niedereschbach,Nieder-Eschbach
"Am Hollerbusch",Nieder-Eschbach
"Am Lehenweg",Nieder-Eschbach
Lagwiesenweg,Nieder-Eschbach
"Am Martinszehnten",Nieder-Eschbach
"Am Sprudel",Nieder-Eschbach
"An den Kaiserpappeln",Nieder-Eschbach
"An der Bornhohl",Nieder-Eschbach
"An der Walkmühle",Nieder-Eschbach
Anna-Lindh-Allee,Nieder-Eschbach
"Berner Straße",Nieder-Eschbach
Bert-Brecht-Straße,Nieder-Eschbach
"Budapester Straße",Nieder-Eschbach
Dahlienstraße,Nieder-Eschbach
Deuil-La-Barre-Straße,Nieder-Eschbach
"Genfer Straße",Nieder-Eschbach
Gerhardsrainweg,Nieder-Eschbach
"Glogauer Straße",Nieder-Eschbach
"Görlitzer Straße",Nieder-Eschbach
Günter-Vogt-Ring,Nieder-Eschbach
Gustav-Mahler-Straße,Nieder-Eschbach
Konrad-Duden-Weg,Nieder-Eschbach
Deutschherrnbrücke,Ostend
Wilhelm-Flögel-Ring,Nieder-Eschbach
Heinrich-Becker-Straße,Nieder-Eschbach
Heinrich-Berbalk-Straße,Nieder-Eschbach
Holzweg,Nieder-Eschbach
"Homburger Landstraße",Nieder-Eschbach
Karl-Bieber-Höhe,Nieder-Eschbach
Kattergasse,Nieder-Eschbach
Kreuzerweg,Nieder-Eschbach
Theodor-W.-Adorno-Platz,Westend
Leo-Tolstoj-Straße,Nieder-Eschbach
Narzissenstraße,Nieder-Eschbach
"Niedereschbacher Stadtweg",Nieder-Eschbach
Rilkestraße,Nieder-Eschbach
Rudolf-Breitscheid-Straße,Nieder-Eschbach
Schmiedgasse,Nieder-Eschbach
"Oberer Kirchwiesenweg",Nieder-Eschbach
Tannenweg,Nieder-Eschbach
Tulpenweg,Nieder-Eschbach
"Unterer Kirchwiesenweg",Nieder-Eschbach
"Urseler Weg",Nieder-Eschbach
"Weimarer Straße",Nieder-Eschbach
"Zum Eschbachsteg",Nieder-Eschbach
"Am Eschbachtal",Harheim
"Am Römerbrunnen",Harheim
"In den Aspen",Harheim
Urnbergweg,Harheim
"Züricher Straße",Nieder-Eschbach
Eckstraße,Harheim
"Seulberger Straße",Harheim
"An der Pfarrwiese",Harheim
Philipp-Schnell-Straße,Harheim
Quellenstraße,Harheim
"In den Schafgärten",Harheim
Hochfeldstraße,Harheim
"Am Wetterhahn",Harheim
Alt-Harheim,Harheim
Altkönigblick,Harheim
"Am Entenpfad",Harheim
"Am Auweg",Harheim
Bürgerstraße,Harheim
"Erlenbacher Stadtweg",Harheim
Grundweg,Harheim
Haintalstraße,Harheim
"Harheimer Weg",Harheim
"Harheimer Stadtweg",Harheim
Hermannspforte,Harheim
"Im Kalk",Harheim
"In den Biegen",Harheim
"Im Niederfeld",Harheim
"Am Bier",Nieder-Erlenbach
"In der Fuchskaut",Harheim
"In der Rosengewann",Harheim
Jägersteg,Harheim
Jakob-Quirin-Weg,Harheim
Keltenstraße,Harheim
Korffstraße,Harheim
Maßbornstraße,Harheim
Merzenstraße,Harheim
Riedhalsstraße,Harheim
Spitzenstraße,Harheim
Steinritzstraße,Harheim
Tempelgasse,Harheim
"Über der Heiern",Harheim
Kantstraße,Nordend
Reginastraße,Harheim
Winkelgasse,Harheim
"Zur Untermühle",Harheim
Mühlweg,Nieder-Erlenbach
"Am Höllsteg",Nieder-Erlenbach
"Am Reinhardshof",Nieder-Erlenbach
"Niedererlenbacher Straße",Nieder-Erlenbach
"Am Riedsteg",Nieder-Erlenbach
"Hohe Stätte",Nieder-Erlenbach
Schönblick,Nieder-Erlenbach
"Alte Fahrt",Nieder-Erlenbach
Alt-Erlenbach,Nieder-Erlenbach
"Am Buchbaum",Nieder-Erlenbach
"Am Eichbaum",Nieder-Erlenbach
"Am Klingelborn",Nieder-Erlenbach
"Am Mittelpfad",Nieder-Erlenbach
"Am Ohlenstück",Nieder-Erlenbach
"Am Satz",Nieder-Erlenbach
"Am Siegesbaum",Nieder-Erlenbach
"Am Steinberg",Nieder-Erlenbach
"An den Bergen",Nieder-Erlenbach
"An der Bleiche",Nieder-Erlenbach
"Auf der Steinritz",Nieder-Erlenbach
"Auf der Waldhohl",Nieder-Erlenbach
Bornweg,Nieder-Erlenbach
"Brandenburger Weg",Nieder-Erlenbach
"Erlenbacher Stadtweg",Nieder-Erlenbach
Feldbergblick,Nieder-Erlenbach
"Egerländer Straße",Nieder-Erlenbach
"Hinterm Hain",Nieder-Erlenbach
"Hohe Brück",Nieder-Erlenbach
"Im Feldchen",Nieder-Erlenbach
"Im Fuchsloch",Nieder-Erlenbach
"Im Sauern",Nieder-Erlenbach
Kapersburgstraße,Nieder-Erlenbach
Kurmarkstraße,Nieder-Erlenbach
Lausitzstraße,Nieder-Erlenbach
Lochmühlstraße,Nieder-Erlenbach
"Märker Straße",Nieder-Erlenbach
"Mecklenburger Straße",Nieder-Erlenbach
"Obere Burggasse",Nieder-Erlenbach
"Neue Fahrt",Nieder-Erlenbach
Keplerstraße,Nordend
"Licher Straße",Nordend
"Niedereschbacher Straße",Nieder-Erlenbach
"Zur Charlottenburg",Nieder-Erlenbach
Sorbenstraße,Nieder-Erlenbach
Sudetenstraße,Nieder-Erlenbach
"Untere Burggasse",Nieder-Erlenbach
Pommernstraße,Nieder-Erlenbach
"Zum Erlengrund",Nieder-Erlenbach
"Zum Schäferköppel",Nieder-Erlenbach
"Zur Obermühle",Nieder-Erlenbach
Anna-Beyer-Straße,Nordend
"Falkensteiner Straße",Nordend
Eduard-Rüppell-Straße,Nordend
Winterbachstraße,Nordend
Kastanienallee,Nordend
Annastraße,Nordend
Aystettstraße,Nordend
"Im Prüfling",Nordend
Justinianstraße,Nordend
Brahmsstraße,Nordend
Wielandstraße,Nordend
Elkenbachstraße,Nordend
Stettenstraße,Nordend
Humbrachtstraße,Nordend
De-Bary-Straße,Nordend
Else-Epstein-Weg,Nordend
Baustraße,Nordend
Hebelstraße,Nordend
Hermannstraße,Nordend
Hermesweg,Nordend
Merianstraße,Nordend
Schleiermacherstraße,Nordend
"Friedberger Anlage",Nordend
Germaniaplatz,Nordend
Nedergäßchen,Nordend
Rappstraße,Nordend
Sandweg,Nordend
"Zum Bergwerk",Kalbach-Riedberg
Schopenhauerstraße,Nordend
Bertramswiese,Nordend
Böttgerstraße,Nordend
Christusdornallee,Nordend
Feststraße,Nordend
Germaniastraße,Nordend
Heideplatz,Nordend
Lortzingstraße,Nordend
Marschnerstraße,Nordend
Merianplatz,Nordend
Wiesenstraße,Nordend
Baumweg,Nordend
"Berger Straße",Nordend
Bernhard-Becker-Straße,Nordend
Kleebergstraße,Nordend
Bertramstraße,Nordend
Zeißelstraße,Nordend
Blumenstraße,Nordend
"Bornheimer Landstraße",Nordend
Adickesallee,Nordend
Adlerflychtplatz,Nordend
Adlerflychtstraße,Nordend
Akazienallee,Nordend
Wolfsgangstraße,Nordend
"Am Wasserpark",Nordend
"An der Eckenheimer Mauer",Nordend
Anneliese-Hoevel-Straße,Nordend
"Arnsteiner Straße",Nordend
"Arnsburger Straße",Nordend
Bäckerweg,Nordend
Baumhaselweg,Nordend
"Bornheimer Spange / Alleen Spange",Nordend
Bornwiesenweg,Nordend
"Bremer Straße",Nordend
Burgstraße,Nordend
"Butzbacher Straße",Nordend
Comeniusstraße,Nordend
Cronstettenstraße,Nordend
"Erlenbacher Straße",Nordend
Egenolffstraße,Nordend
Jahnstraße,Nordend
"Eschenheimer Anlage",Nordend
"Eschenheimer Tor",Nordend
"Eschersheimer Landstraße",Nordend
Eysseneckstraße,Nordend
Feldgerichtstraße,Nordend
Feyerleinstraße,Nordend
Fichardstraße,Nordend
Fichtestraße,Nordend
Finkenhofstraße,Nordend
Frauensteinstraße,Nordend
Frauensteinplatz,Nordend
"Homburger Landstraße",Nordend
Julius-Heyman-Straße,Nordend
Gaußstraße,Nordend
Lindenring,Nordend
Lindenweg,Nordend
Loënstraße,Nordend
"Friedberger Landstraße",Nordend
Fürstenbergerstraße,Nordend
Gabelsbergerstraße,Nordend
Gellertstraße,Nordend
Lichtensteinstraße,Nordend
"Gießener Straße",Nordend
Glauburgstraße,Nordend
Gleimstraße,Nordend
Gluckstraße,Nordend
Gruftenweg,Nordend
Grüneburgweg,Nordend
Hartmann-Ibach-Straße,Nordend
Heidestraße,Nordend
Heinestraße,Nordend
Hegelstraße,Nordend
Lichnowskyplatz,Nordend
Unterweg,Nordend
Schellingstraße,Nordend
Sömmerringstraße,Nordend
"Kleine Wiesenau",Westend
Günthersburgallee,Nordend
Humboldtstraße,Nordend
Humserstraße,Nordend
Habsburgerallee,Nordend
Hallgartenstraße,Nordend
Hammanstraße,Nordend
Händelstraße,Nordend
Hansaallee,Nordend
Hansteinstraße,Nordend
"Dortelweiler Straße",Nordend
"Hungener Straße",Nordend
"Eckenheimer Landstraße",Nordend
Ehrenmalweg,Nordend
Eichwaldstraße,Nordend
"Eiserne Hand",Nordend
Herbartstraße,Nordend
Herderstraße,Nordend
Vogtstraße,Nordend
Höhenstraße,Nordend
Holzhausenstraße,Nordend
Hynspergstraße,Nordend
Kleiststraße,Nordend
Klettenbergstraße,Nordend
Klitscherstraße,Nordend
Königswarterstraße,Nordend
Koselstraße,Nordend
Kreutzerstraße,Nordend
Kühhornshofweg,Nordend
Lebensbaumweg,Nordend
Leibnizstraße,Nordend
Leimenrode,Nordend
Lenaustraße,Nordend
Mechtildstraße,Nordend
Lersnerstraße,Nordend
Rossertstraße,Westend
Luisenplatz,Nordend
Luisenstraße,Nordend
Malapertstraße,Nordend
Marbachweg,Nordend
Melemstraße,Nordend
Martin-Luther-Straße,Nordend
Mauerweg,Nordend
Mercatorstraße,Nordend
Miquelallee,Nordend
Mittelweg,Nordend
"Münzenberger Straße",Nordend
Wingertstraße,Nordend
"Usinger Straße",Nordend
Musikantenweg,Nordend
Nesenstraße,Nordend
Neuhaußstraße,Nordend
Neuhofstraße,Nordend
Nordendplatz,Nordend
Nibelungenallee,Nordend
Richard-Wagner-Straße,Nordend
"Runkeler Straße",Nordend
Saalburgstraße,Nordend
"Verlängerter Gruftenweg",Nordend
Rohrbachstraße,Nordend
Nordendstraße,Nordend
Rothschildallee,Nordend
Rotlintstraße,Nordend
Rotteckstraße,Nordend
Scheffelstraße,Nordend
Schleidenstraße,Nordend
Schlinkenweg,Nordend
Schlosserstraße,Nordend
Schwarzburgstraße,Nordend
Platanenweg,Nordend
Oberweg,Nordend
"Oeder Weg",Nordend
Seumestraße,Nordend
Spohrstraße,Nordend
Stalburgstraße,Nordend
Sternstraße,Nordend
Thomasiusstraße,Nordend
Vogelsbergstraße,Nordend
Voelckerstraße,Nordend
Palmstraße,Nordend
Petersstraße,Nordend
Petterweilstraße,Nordend
Querstraße,Nordend
Polizeimeister-Kaspar-Straße,Nordend
Rat-Beil-Straße,Nordend
Waldschmidtstraße,Nordend
Wasserleitungsweg,Nordend
Weberstraße,Nordend
Birkenwäldchen,Nordend
Weidenbornstraße,Nordend
"Westlicher Ringweg",Nordend
"Wetzlarer Straße",Nordend
Wetteraustraße,Nordend
Zeil,Nordend
Xaver-Fendt-Straße,Kalbach-Riedberg
Karl-Ritscher-Anlage,Kalbach-Riedberg
"Über den Gartenwiesen",Kalbach-Riedberg
Valentin-Schmetzer-Weg,Kalbach-Riedberg
Christiane-Vulpius-Straße,Kalbach-Riedberg
Wilhelm-Gutbrod-Straße,Kalbach-Riedberg
Gräfin-Dönhoff-Straße,Kalbach-Riedberg
Hullach,Kalbach-Riedberg
Bonifatiusstraße,Kalbach-Riedberg
Helene-Adler-Weg,Kalbach-Riedberg
Mersenstraße,Kalbach-Riedberg
"Am Hang",Kalbach-Riedberg
Erna-Pinner-Straße,Kalbach-Riedberg
"An der Wellenburg",Kalbach-Riedberg
Josef-Bautz-Straße,Kalbach-Riedberg
Käthe-Kruse-Straße,Kalbach-Riedberg
"Zum Stulen",Kalbach-Riedberg
Ludwig-Fulda-Weg,Kalbach-Riedberg
Friedrich-Dessauer-Straße,Kalbach-Riedberg
Fritz-Bauer-Straße,Kalbach-Riedberg
Gickelgasse,Kalbach-Riedberg
Hans-Bethe-Straße,Kalbach-Riedberg
Johann-Beyer-Weg,Kalbach-Riedberg
Turnschulschneise,Sachsenhausen
Matisseweg,Kalbach-Riedberg
Max-von-Pettenkofer-Weg,Kalbach-Riedberg
Paul-Apel-Straße,Kalbach-Riedberg
Robert-Gernhardt-Brücke,Kalbach-Riedberg
Annette-Kolb-Weg,Kalbach-Riedberg
Arthur-von-Weinberg-Straße,Kalbach-Riedberg
"Zum Taubenzehnten",Kalbach-Riedberg
Helene-Lange-Straße,Kalbach-Riedberg
Fabian-von-Schlabrendorff-Straße,Kalbach-Riedberg
Elly-Heuss-Knapp-Straße,Kalbach-Riedberg
"Am Bonifatiusbrunnen",Kalbach-Riedberg
"Am Brunnengarten",Kalbach-Riedberg
"Lange Meile",Kalbach-Riedberg
Altenhöferallee,Kalbach-Riedberg
"Alte Riedbergstraße",Kalbach-Riedberg
Alt-Kalbach,Kalbach-Riedberg
Bachstraße,Kalbach-Riedberg
Cäsar-von-Hofacker-Straße,Kalbach-Riedberg
Crutzenkirchweg,Kalbach-Riedberg
Ernst-Abbe-Straße,Kalbach-Riedberg
Falkenweg,Kalbach-Riedberg
Fasanenweg,Kalbach-Riedberg
"Am Hasensprung",Kalbach-Riedberg
Hans-Leistikow-Straße,Kalbach-Riedberg
"Am Himmerich",Kalbach-Riedberg
"Am Höllenberg",Kalbach-Riedberg
"Am Hopfenbrunnen",Kalbach-Riedberg
"Am Markstein",Kalbach-Riedberg
Bertha-Bagge-Straße,Kalbach-Riedberg
Bertha-Pappenheim-Weg,Kalbach-Riedberg
Wolfshohl,Kalbach-Riedberg
Cézanneweg,Kalbach-Riedberg
Friedrich-Karl-Klausing-Straße,Kalbach-Riedberg
Gauguinweg,Kalbach-Riedberg
Georg-Allgaier-Straße,Kalbach-Riedberg
Gerhard-Domagk-Straße,Kalbach-Riedberg
Graf-von-Stauffenberg-Allee,Kalbach-Riedberg
Grubweg,Kalbach-Riedberg
Habichtsweg,Kalbach-Riedberg
Hannah-Arendt-Straße,Kalbach-Riedberg
"Am Martinszehnten",Kalbach-Riedberg
"Am Oberschlag",Kalbach-Riedberg
"Am Schlittenberg",Kalbach-Riedberg
"Am Weißberg",Kalbach-Riedberg
"Am Weißkirchener Berg",Kalbach-Riedberg
"Am Wingert",Kalbach-Riedberg
"An der Bergstraße",Kalbach-Riedberg
"An der Grünhohl",Kalbach-Riedberg
"An der Landwehr",Kalbach-Riedberg
Heckenrosenweg,Kalbach-Riedberg
Heinrich-Lanz-Allee,Kalbach-Riedberg
Edith-Stein-Weg,Kalbach-Riedberg
Henning-von-Tresckow-Straße,Kalbach-Riedberg
"Im Brombeerfeld",Kalbach-Riedberg
"Im Hain",Kalbach-Riedberg
"Im Kirschenwäldchen",Kalbach-Riedberg
"Im Klausenstück",Kalbach-Riedberg
"Im Kreuzegut",Kalbach-Riedberg
"In der Kätcheslach",Kalbach-Riedberg
"In den Seewiesen",Kalbach-Riedberg
"In der Wink",Kalbach-Riedberg
Johanna-Spyri-Weg,Kalbach-Riedberg
Johann-Georg-Elser-Straße,Kalbach-Riedberg
Johann-Georg-Fahr-Anlage,Kalbach-Riedberg
Josef-Eicher-Straße,Kalbach-Riedberg
"Kalbacher Stadtpfad",Kalbach-Riedberg
Max-Born-Straße,Kalbach-Riedberg
Max-Holder-Straße,Kalbach-Riedberg
Monetweg,Kalbach-Riedberg
Neugasse,Kalbach-Riedberg
Richard-Breitenfeld-Straße,Kalbach-Riedberg
Ricky-Adler-Straße,Kalbach-Riedberg
"Kalbacher Hauptstraße",Kalbach-Riedberg
"Kalbacher Niddapfad",Kalbach-Riedberg
Kätcheslachweg,Kalbach-Riedberg
Katharina-Staritz-Straße,Kalbach-Riedberg
Konrad-Zuse-Straße,Kalbach-Riedberg
Margarete-Steiff-Straße,Kalbach-Riedberg
Margarete-Susman-Weg,Kalbach-Riedberg
Marie-Curie-Straße,Kalbach-Riedberg
Martin-Niemöller-Straße,Kalbach-Riedberg
Riedbergallee,Kalbach-Riedberg
Robert-Koch-Allee,Kalbach-Riedberg
Schwalbenweg,Kalbach-Riedberg
Skylineblick,Kalbach-Riedberg
Sperberweg,Kalbach-Riedberg
Spitzgartenweg,Kalbach-Riedberg
Stiftung-Waisenhaus-Weg,Kalbach-Riedberg
Clementineweg,Ostend
